S. cerevisiae total RNA
Genes included in this table either have 1 or more poly(A) tags, or have RPF RPKM > 0 and RNA RPM > 10.0 for samples with mRNA-Seq and ribosome profiling data
Transcript ID	Gene name	Poly(A) tags	Mean TL	Median TL	10th %ile, TL	25th %ile, TL	75th %ile, TL	90th %ile, TL	mRNA RPKM	RPF RPKM	log2(TE)
YBR177C	YBR177C	432	33.3	32.4	14.8	21.8	44.3	53.1	NA	NA	NA
YIL140W	YIL140W	436	33.7	35.7	9.7	19.4	45.6	55.7	NA	NA	NA
YLR268W	YLR268W	361	32.6	30.7	14.8	21.0	42.1	51.9	NA	NA	NA
YLR357W	YLR357W	614	35.7	37.5	10.0	18.3	50.2	58.6	NA	NA	NA
YJL155C	YJL155C	126	34.1	30.2	16.4	21.5	43.7	57.6	NA	NA	NA
YLL062C	YLL062C	33	35.4	34.3	11.5	21.5	50.1	57.5	NA	NA	NA
YIR004W	YIR004W	681	33.3	30.6	12.8	19.0	43.9	58.1	NA	NA	NA
YPR023C	YPR023C	571	31.7	30.3	14.3	20.0	42.5	53.1	NA	NA	NA
YAL008W	YAL008W	419	31.8	30.3	13.8	20.1	41.5	51.9	NA	NA	NA
YNR028W	YNR028W	1	21.3	21.3	NA	NA	NA	NA	NA	NA	NA
YMR111C	YMR111C	1	54.8	54.8	NA	NA	NA	NA	NA	NA	NA
YBR255W	YBR255W	49	33.2	29.2	10.7	18.8	46.6	56.0	NA	NA	NA
YFR027W	YFR027W	141	30.8	27.8	12.0	16.3	42.7	56.4	NA	NA	NA
YLR042C	YLR042C	1	19.5	19.5	NA	NA	NA	NA	NA	NA	NA
YJL122W	YJL122W	2069	37.6	36.6	15.3	24.4	49.5	60.3	NA	NA	NA
YNL300W	YNL300W	866	33.4	33.5	13.6	21.1	44.3	52.6	NA	NA	NA
YAL056W	YAL056W	266	35.2	36.3	9.9	20.8	48.4	58.9	NA	NA	NA
YML006C	YML006C	293	36.3	35.4	11.1	19.6	51.4	61.0	NA	NA	NA
YOR011W	YOR011W	136	33.5	33.3	14.3	21.3	43.7	53.4	NA	NA	NA
YJR122W	YJR122W	4	22.5	21.8	NA	NA	NA	NA	NA	NA	NA
YLR152C	YLR152C	65	42.6	44.9	24.0	34.3	52.8	57.2	NA	NA	NA
YJL204C	YJL204C	351	36.0	36.5	13.3	22.3	47.1	58.3	NA	NA	NA
YIL034C	YIL034C	396	28.1	25.4	11.6	16.5	36.0	49.1	NA	NA	NA
YLR144C	YLR144C	182	31.7	31.4	12.8	18.9	43.1	52.6	NA	NA	NA
YLR392C	YLR392C	78	41.5	43.3	16.9	29.4	55.9	62.3	NA	NA	NA
YJR084W	YJR084W	145	36.5	34.2	14.5	26.0	50.0	56.9	NA	NA	NA
YBR135W	YBR135W	188	29.2	26.9	11.7	17.7	41.7	49.5	NA	NA	NA
YDR172W	YDR172W	2292	29.5	27.0	9.3	16.0	41.0	53.2	NA	NA	NA
YBR160W	YBR160W	194	31.0	29.9	9.6	15.4	43.8	55.7	NA	NA	NA
YPR081C	YPR081C	120	33.0	31.0	12.6	19.6	41.6	56.4	NA	NA	NA
YDL238C	YDL238C	11	34.5	35.2	15.1	25.1	47.0	50.5	NA	NA	NA
YJL082W	YJL082W	123	37.2	36.1	9.1	19.5	50.4	64.4	NA	NA	NA
YLR197W	YLR197W	7789	27.2	25.7	10.4	16.2	35.9	46.3	NA	NA	NA
YKL190W	YKL190W	448	33.8	30.2	15.1	21.7	42.9	56.5	NA	NA	NA
YLR348C	YLR348C	670	30.0	27.6	13.8	18.6	39.4	48.7	NA	NA	NA
YBR248C	YBR248C	1	2.7	2.7	NA	NA	NA	NA	NA	NA	NA
YNR067C	YNR067C	635	33.9	35.3	7.9	14.8	49.4	57.6	NA	NA	NA
YNL152W	YNL152W	144	35.2	36.6	14.5	24.2	47.1	53.6	NA	NA	NA
YLR382C	YLR382C	205	40.6	42.0	11.9	26.4	53.6	63.7	NA	NA	NA
YFL045C	YFL045C	1	28.5	28.5	NA	NA	NA	NA	NA	NA	NA
YDR141C	YDR141C	1	38.2	38.2	NA	NA	NA	NA	NA	NA	NA
YJL131C	YJL131C	189	34.7	33.6	11.7	21.0	48.9	58.5	NA	NA	NA
YDL170W	YDL170W	91	50.2	50.8	28.6	40.4	59.9	69.7	NA	NA	NA
YIL124W	YIL124W	936	33.1	32.4	14.0	20.9	43.3	52.2	NA	NA	NA
YJR044C	YJR044C	591	30.1	28.8	12.8	19.1	40.3	48.3	NA	NA	NA
YJR011C	YJR011C	103	32.1	31.4	7.6	15.1	48.3	58.0	NA	NA	NA
YGL141W	YGL141W	154	32.5	29.6	13.5	19.9	45.5	53.5	NA	NA	NA
YMR009W	YMR009W	91	32.5	29.8	16.0	21.2	43.0	53.8	NA	NA	NA
YOR123C	YOR123C	800	36.4	36.2	15.4	22.7	48.8	58.6	NA	NA	NA
YBR128C	YBR128C	22	38.1	42.3	19.8	31.3	45.5	53.7	NA	NA	NA
YDR363W	YDR363W	161	38.1	37.8	18.3	27.7	47.1	57.0	NA	NA	NA
YPL194W	YPL194W	85	41.2	41.1	17.2	29.0	55.0	62.6	NA	NA	NA
YLR362W	YLR362W	128	40.6	36.8	16.5	24.5	50.1	62.6	NA	NA	NA
YPL092W	YPL092W	350	39.1	38.5	17.5	27.4	49.2	58.8	NA	NA	NA
YNL166C	YNL166C	908	35.8	35.0	15.8	23.4	47.5	56.7	NA	NA	NA
YKL134C	YKL134C	61	28.3	24.3	6.1	11.3	44.3	56.2	NA	NA	NA
YDR090C	YDR090C	454	36.4	35.9	14.6	25.8	48.3	57.4	NA	NA	NA
YCL017C	YCL017C	111	46.3	45.7	27.9	37.1	55.5	67.4	NA	NA	NA
YIL108W	YIL108W	23	43.3	45.8	26.0	33.9	53.7	59.9	NA	NA	NA
YKL052C	YKL052C	220	39.2	40.7	15.2	23.8	51.4	59.9	NA	NA	NA
YBR273C	YBR273C	370	34.0	33.0	16.9	23.8	43.0	53.0	NA	NA	NA
YFR005C	YFR005C	332	35.2	35.0	13.5	22.5	47.0	54.6	NA	NA	NA
YER093C-A	YER093C-A	123	41.4	42.5	10.5	26.9	57.9	67.7	NA	NA	NA
YJR135W-A	YJR135W-A	1	20.0	20.0	NA	NA	NA	NA	NA	NA	NA
YFL017W-A	YFL017W-A	300	32.3	31.4	12.7	19.4	43.3	54.0	NA	NA	NA
YFR050C	YFR050C	645	24.3	21.9	6.5	12.0	34.0	46.3	NA	NA	NA
