"Transcript.ID" "Gene.name" "Poly.A..tags" "Mean.TL" "Median.TL" "X10th..ile..TL" "X25th..ile..TL" "X75th..ile..TL" "X90th..ile..TL" "mRNA.RPKM" "RPF.RPKM" "log2.TE."
"1" "YBR177C" "YBR177C" 208 29.3 27.1 10.3 15.3 39.7 52.9 79.09 78.41 -0.0124576345842
"2" "YIL140W" "YIL140W" 112 29.8 28 6.4 12.5 41.9 55.7 37.49 37.97 0.018354173331
"3" "YLR268W" "YLR268W" 231 27.8 24 10.9 16.7 37.3 48.7 103.56 127.21 0.296745215235
"4" "YLR357W" "YLR357W" 128 30.3 23.9 4.8 9.3 50.2 62 43.98 33.36 -0.39872831541
"5" "YJL155C" "YJL155C" 45 32.7 25.2 10.6 15.9 40.9 72.4 18.77 18.64 -0.0100267901766
"6" "YLL062C" "YLL062C" 33 32.1 28.6 13.9 17.8 35.1 65.4 24.5 21.77 -0.170440341702
"7" "YIR004W" "YIR004W" 95 33.7 31.3 10.3 18.3 44.8 54.8 64.98 62.93 -0.0462478007574
"8" "YPR023C" "YPR023C" 235 30.5 28 11.5 18.7 40.5 52.4 82.89 60.41 -0.456410676297
"9" "YAL008W" "YAL008W" 141 28.7 26.7 9.5 16.5 37.9 53.9 44.66 85.73 0.940816892239
"10" "YNR028W" "YNR028W" 0 NA NA NA NA NA NA 57.11 49.4 -0.209232342784
"11" "YMR111C" "YMR111C" 0 NA NA NA NA NA NA 16.62 10.05 -0.725724880704
"12" "YBR255W" "YBR255W" 10 37.1 38.4 13.3 31.9 46.3 55.9 18.01 8.23 -1.12983384548
"13" "YFR027W" "YFR027W" 20 21.7 21.1 7.2 12.7 28.2 33 13.13 16.18 0.301344691537
"14" "YJL122W" "YJL122W" 264 32.9 30.2 10.5 18.2 46.7 59.4 125.22 171.11 0.450459069854
"15" "YOR030W" "YOR030W" 0 NA NA NA NA NA NA 20.62 4.38 -2.23504155777
"16" "YNL300W" "YNL300W" 645 33 31.3 10.9 18 44.5 59.8 123.67 328.05 1.40742014885
"17" "YAL056W" "YAL056W" 45 22.9 18.1 7.4 9.6 32 50.9 35.28 7.92 -2.15527822548
"18" "YML006C" "YML006C" 44 22.9 16.7 8.3 12.4 31.4 47.6 22.37 10.08 -1.15006961756
"19" "YOR011W" "YOR011W" 68 33.7 34.2 7.2 19.2 47.4 57.2 20.42 3.44 -2.56950239618
"20" "YJR122W" "YJR122W" 9 42.2 46.3 NA NA NA NA 19.74 9.64 -1.03401693823
"21" "YLR152C" "YLR152C" 24 33.7 35.9 10.4 22.6 44.7 48.8 13.65 3.18 -2.10180228052
"22" "YHR051W" "YHR051W" 1 3.7 3.7 NA NA NA NA 125.81 211.06 0.74640658635
"23" "YJL204C" "YJL204C" 116 29.2 24.6 7.9 13.8 40 56.7 24.7 18.42 -0.423237980381
"24" "YIL034C" "YIL034C" 175 26.3 22.3 8.4 13.7 33.6 52.2 108.71 108.94 0.00304911539554
"25" "YLR144C" "YLR144C" 61 33.2 29.3 9.6 12.9 52 65.1 30.35 21.44 -0.501391610685
"26" "YLR392C" "YLR392C" 27 28.1 20.9 11.5 16.7 38.4 51.5 18.64 9.27 -1.00776061603
