"names" "transcripts" "pool_ratio" "weighted_length"
"1" "Q0130" 0.021 16.7753786175
"2" "Q0160" 0.127 17.1354466859
"3" "Q0070" 0.145 18.3527810191
"4" "Q0110" 0.171 17.7797654542
"5" "Q0085" 0.185 25.8374675171
"6" "YDR034C-D" 0.191 22.9913328648
"7" "YHR214C-B" 0.222 20.6802845158
"8" "YER159C-A" 0.223 20.8260469397
"9" "YER160C" 0.231 21.4102241249
"10" "YDR210W-D" 0.235 20.8568155785
"11" "YBL101W-B" 0.236 22.3988379332
"12" "Q0075" 0.237 20.7649539877
"13" "YDR365W-A" 0.242 21.3635396724
"14" "YNL054W-B" 0.244 22.6652102676
"15" "Q0055" 0.248 17.5495724941
"16" "YLR227W-B" 0.248 21.2574768896
"17" "YIL136W" 0.25 25.1820167455
"18" "YDR261W-B" 0.261 21.5877623939
"19" "YDL148C" 0.262 19.2271793915
"20" "YDR316W-A" 0.262 23.0875356803
"21" "Q0120" 0.264 20.0352112676
"22" "YBR012W-B" 0.264 22.0574775764
"23" "Q0297" 0.277 14.9963649582
"24" "Q0250" 0.28 21.8550724638
"25" "YOL165C" 0.281 20.8095527221
"26" "YGR038C-A" 0.282 21.4486638537
"27" "YAL053W" 0.284 21.6311458114
"28" "YOR192C-A" 0.284 22.0422376994
"29" "YER137C-A" 0.286 20.9576996198
"30" "YBR172C" 0.288 21.6754130224
"31" "Q0105" 0.291 21.6502528613
"32" "Q0050" 0.292 19.1623454328
"33" "YLL021W" 0.292 22.6852248394
"34" "YPL260W" 0.293 24.384432089
"35" "YAR047C" 0.295 21.4997713763
"36" "YDR098C-A" 0.301 22.3710158221
"37" "YGR161C-C" 0.301 22.4540029836
"38" "YDR261C-C" 0.302 20.6602254428
"39" "YLR035C-A" 0.302 20.9038530789
"40" "YPR158C-D" 0.302 21.6321191387
"41" "YER006W" 0.302 25.0078107565
"42" "Q0080" 0.303 24.5314934342
"43" "YBL005W-B" 0.304 22.2874015748
"44" "YOL103W-B" 0.307 20.5925233645
"45" "YGL179C" 0.307 24.1933216169
"46" "YBR012W-A" 0.311 21.2297070349
"47" "YPL257W-A" 0.312 21.4413009579
"48" "YCL020W" 0.312 21.7290019235
"49" "YDR261W-A" 0.313 20.8395522388
"50" "YER138C" 0.316 22.5464978235
"51" "YBL005W-A" 0.318 20.2187274042
"52" "YMR050C" 0.318 21.0178346244
"53" "Q0115" 0.32 26.6504065041
"54" "YNL284C-B" 0.324 22.0531757755
"55" "YPR002C-A" 0.325 22.391352797
"56" "YLR347C" 0.327 23.4730421094
"57" "YPL070W" 0.327 26.3910336239
"58" "YGR161W-A" 0.328 20.9207503828
"59" "YPL240C" 0.328 21.2054018006
"60" "YDR210W-A" 0.329 23.6327543424
"61" "YDR449C" 0.331 23.4870534871
"62" "YIR002C" 0.335 23.7064777328
"63" "YNL088W" 0.336 19.8462524023
"64" "YMR229C" 0.337 20.1261709042
"65" "YBL101W-A" 0.337 20.9069160505
"66" "YDL058W" 0.338 18.7457505815
"67" "YOR326W" 0.339 21.5110258869
"68" "YMR051C" 0.34 23.2888349515
"69" "YOR343C-B" 0.344 20.7177937287
"70" "YLR157C-A" 0.344 21.2170263789
"71" "YDR495C" 0.349 23.9001462294
"72" "YCL019W" 0.35 21.8173414679
"73" "YLR387C" 0.35 27.5887573964
"74" "YNR051C" 0.351 22.282857738
"75" "YPL074W" 0.351 26.6376685515
"76" "YOL145C" 0.353 24.515145742
"77" "YDR170W-A" 0.356 21.5378517638
"78" "YOR188W" 0.356 21.9371842741
"79" "YAL035W" 0.365 23.6280158444
"80" "YHR146W" 0.366 21.2967479675
"81" "YDR356W" 0.366 23.5068395807
"82" "YHR023W" 0.369 19.5335924486
"83" "YOR142W-B" 0.373 21.3616071429
"84" "YMR285C" 0.373 25.261167147
"85" "YFL002W-B" 0.374 22.5250626566
"86" "YDR299W" 0.375 26.4489079563
